MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.289236E+01     7.366735E+00     3.004695E-02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.933083E+01     7.366735E+00     3.294044E-01     3.108947E+00     4.936827E-02     1.000000E+00 
    2     4     2     5.562974E+00     3.719395E+00     4.434742E-01     4.437085E+00     3.201668E-01     1.000000E+00 
    3     6     3     5.130238E+00     3.571165E+00     6.149650E-01     5.863046E+00     5.538308E-01     1.000000E+00 
    4    17     4     5.109200E+00     3.571130E+00     6.238909E-01     5.848534E+00     5.198910E-01     1.000000E+00 
    5    28     5     5.099632E+00     3.570971E+00     6.197403E-01     5.910545E+00     5.042658E-01     1.000000E+00 
    6    34     6     5.096095E+00     3.565330E+00     6.431165E-01     5.960809E+00     5.154326E-01     1.000000E+00 
    7    45     7     5.097451E+00     3.565136E+00     6.347962E-01     5.993380E+00     5.104796E-01     1.000000E+00 
    8    56     8     5.103205E+00     3.564919E+00     6.437874E-01     5.988454E+00     5.113852E-01     1.000000E+00 
    9    67     9     5.097300E+00     3.564677E+00     6.397905E-01     5.989140E+00     5.104936E-01     1.000000E+00 
   10    78    10     5.087346E+00     3.564456E+00     6.417033E-01     6.014591E+00     5.123165E-01     1.000000E+00 
   11    89    11     5.080995E+00     3.564219E+00     6.439987E-01     5.964488E+00     5.128418E-01     1.000000E+00 
   12   100    12     5.085411E+00     3.564039E+00     6.458800E-01     6.062430E+00     5.122226E-01     1.000000E+00 
   13   111    13     5.094549E+00     3.563816E+00     6.493285E-01     5.986841E+00     5.136827E-01     1.000000E+00 
   14   122    14     5.106566E+00     3.563633E+00     6.501561E-01     6.100486E+00     5.132515E-01     1.000000E+00 
   15   131    15     5.105462E+00     3.562796E+00     6.513193E-01     6.019623E+00     5.171360E-01     1.000000E+00 
   16   142    16     5.093398E+00     3.562589E+00     6.494762E-01     6.062809E+00     5.188682E-01     1.000000E+00 
   17   153    17     5.089131E+00     3.562387E+00     6.506696E-01     6.067980E+00     5.195899E-01     1.000000E+00 
   18   164    18     5.091848E+00     3.562185E+00     6.531125E-01     6.025671E+00     5.196141E-01     1.000000E+00 
   19   175    19     5.100207E+00     3.562034E+00     6.597471E-01     6.150990E+00     5.214159E-01     1.000000E+00 
   20   186    20     5.102911E+00     3.561787E+00     6.561935E-01     6.041417E+00     5.197811E-01     1.000000E+00 
   21   197    21     5.100788E+00     3.561642E+00     6.571881E-01     6.136577E+00     5.243059E-01     1.000000E+00 
   22   208    22     5.096435E+00     3.561385E+00     6.534025E-01     6.063510E+00     5.219897E-01     1.000000E+00 
   23   219    23     5.092598E+00     3.561239E+00     6.564762E-01     6.083689E+00     5.253691E-01     1.000000E+00 
   24   230    24     5.093892E+00     3.561044E+00     6.606489E-01     6.142527E+00     5.247655E-01     1.000000E+00 
   25   241    25     5.093428E+00     3.560879E+00     6.588659E-01     6.072912E+00     5.242778E-01     1.000000E+00 
   26   252    26     5.097412E+00     3.560722E+00     6.627703E-01     6.160412E+00     5.266693E-01     1.000000E+00 
   27   263    27     5.096783E+00     3.560526E+00     6.568534E-01     6.053476E+00     5.240492E-01     1.000000E+00 
   28   274    28     5.095259E+00     3.560391E+00     6.597535E-01     6.162894E+00     5.291837E-01     1.000000E+00 
   29   285    29     5.093727E+00     3.560181E+00     6.586422E-01     6.059377E+00     5.268429E-01     1.000000E+00 
   30   296    30     5.095753E+00     3.560060E+00     6.657529E-01     6.153910E+00     5.297430E-01     1.000000E+00 
   31   307    31     5.100835E+00     3.559861E+00     6.682239E-01     6.130889E+00     5.288744E-01     1.000000E+00 
   32   318    32     5.101923E+00     3.559735E+00     6.665822E-01     6.139858E+00     5.287291E-01     1.000000E+00 
   33   329    33     5.095799E+00     3.559539E+00     6.651184E-01     6.181837E+00     5.304892E-01     1.000000E+00 
   34   340    34     5.089379E+00     3.559402E+00     6.582231E-01     6.063275E+00     5.298385E-01     1.000000E+00 
   35   351    35     5.090700E+00     3.559250E+00     6.674855E-01     6.207501E+00     5.321872E-01     1.000000E+00 
   36   362    36     5.100236E+00     3.559116E+00     6.653310E-01     6.049301E+00     5.316217E-01     1.000000E+00 
   37   373    37     5.110587E+00     3.558975E+00     6.793924E-01     6.264205E+00     5.325307E-01     1.000000E+00 
   38   384    38     5.106865E+00     3.558815E+00     6.670141E-01     6.083893E+00     5.335623E-01     1.000000E+00 
   39   395    39     5.096754E+00     3.558658E+00     6.652626E-01     6.166226E+00     5.345992E-01     1.000000E+00 
   40   406    40     5.094722E+00     3.558518E+00     6.696931E-01     6.219804E+00     5.354723E-01     1.000000E+00 
