MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     8.789034E+00     3.637285E+00     8.593985E-03     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     7.155558E+00     3.637285E+00     1.805748E-01     3.718819E+00     1.353302E-02     1.000000E+00 
    2     3     2     6.167053E+00     3.152752E+00     1.853676E-01     3.732461E+00     1.000019E+04     1.000000E+00 
    3    14     3     6.117388E+00     3.152752E+00     1.865129E-01     3.779751E+00     1.000018E+04     1.000000E+00 
    4    15     4     6.101248E+00     2.398695E+00     1.905839E-01     3.828042E+00     1.000018E+04     1.000000E+00 
    5    16     5     6.089047E+00     2.398197E+00     1.934329E-01     3.855007E+00     1.000018E+04     1.000000E+00 
    6    17     6     6.084881E+00     2.385296E+00     1.995365E-01     3.940922E+00     1.000018E+04     1.000000E+00 
    7    18     7     6.082433E+00     2.380861E+00     2.118145E-01     4.137217E+00     1.000019E+04     1.000000E+00 
    8    19     8     6.080970E+00     2.377580E+00     2.338764E-01     4.510926E+00     1.000020E+04     1.000000E+00 
    9    20     9     6.080737E+00     2.375979E+00     2.593684E-01     4.887135E+00     1.000022E+04     1.000000E+00 
   10    21    10     6.081198E+00     2.376578E+00     2.741282E-01     5.072199E+00     1.000024E+04     1.000000E+00 
   11    32    11     6.081073E+00     2.376578E+00     2.761814E-01     5.074209E+00     1.000024E+04     1.000000E+00 
   12    43    12     6.081106E+00     2.376578E+00     2.779726E-01     5.081329E+00     1.000024E+04     1.000000E+00 
   13    54    13     6.081315E+00     2.376578E+00     2.805606E-01     5.096909E+00     1.000024E+04     1.000000E+00 
   14    65    14     6.081583E+00     2.376578E+00     2.831689E-01     5.116916E+00     1.000024E+04     1.000000E+00 
   15    76    15     6.081849E+00     2.376578E+00     2.857401E-01     5.140187E+00     1.000024E+04     1.000000E+00 
   16    87    16     6.082106E+00     2.376578E+00     2.881275E-01     5.164747E+00     1.000024E+04     1.000000E+00 
   17    98    17     6.082359E+00     2.376578E+00     2.904442E-01     5.189248E+00     1.000024E+04     1.000000E+00 
   18   109    18     6.082591E+00     2.376578E+00     2.925571E-01     5.214011E+00     1.000024E+04     1.000000E+00 
   19   120    19     6.082816E+00     2.376578E+00     2.945826E-01     5.240504E+00     1.000024E+04     1.000000E+00 
   20   131    20     6.083018E+00     2.376578E+00     2.964127E-01     5.264555E+00     1.000024E+04     1.000000E+00 
   21   142    21     6.083215E+00     2.376578E+00     2.981683E-01     5.289636E+00     1.000024E+04     1.000000E+00 
   22   153    22     6.083391E+00     2.376578E+00     2.997641E-01     5.313338E+00     1.000024E+04     1.000000E+00 
   23   164    23     6.083562E+00     2.376578E+00     3.012958E-01     5.337549E+00     1.000024E+04     1.000000E+00 
   24   175    24     6.083714E+00     2.376578E+00     3.026875E-01     5.359483E+00     1.000024E+04     1.000000E+00 
   25   186    25     6.083863E+00     2.376578E+00     3.040259E-01     5.380591E+00     1.000024E+04     1.000000E+00 
   26   197    26     6.083993E+00     2.376578E+00     3.052490E-01     5.401067E+00     1.000024E+04     1.000000E+00 
   27   208    27     6.084122E+00     2.376578E+00     3.064280E-01     5.420719E+00     1.000024E+04     1.000000E+00 
   28   219    28     6.084233E+00     2.376578E+00     3.075024E-01     5.439824E+00     1.000024E+04     1.000000E+00 
   29   230    29     6.084345E+00     2.376578E+00     3.085502E-01     5.458135E+00     1.000024E+04     1.000000E+00 
   30   241    30     6.084441E+00     2.376578E+00     3.095079E-01     5.474889E+00     1.000024E+04     1.000000E+00 
   31   252    31     6.084538E+00     2.376578E+00     3.104449E-01     5.490968E+00     1.000024E+04     1.000000E+00 
   32   263    32     6.084619E+00     2.376578E+00     3.112992E-01     5.505672E+00     1.000024E+04     1.000000E+00 
   33   274    33     6.084705E+00     2.376578E+00     3.121455E-01     5.520030E+00     1.000024E+04     1.000000E+00 
