MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     3.276094E+01     1.491175E+01     3.004695E-02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     7.546196E+01     1.491175E+01     5.433367E-01     6.727126E+00     1.359173E-01     1.000000E+00 
    2     4     2     2.135542E+01     9.972650E+00     5.864604E-01     8.184791E+00     9.220508E-01     1.000000E+00 
    3     6     3     1.494661E+01     9.475245E+00     7.149457E-01     9.690080E+00     1.501139E+00     1.000000E+00 
    4    17     4     1.441302E+01     9.475069E+00     7.251363E-01     9.765926E+00     1.413680E+00     1.000000E+00 
    5    28     5     1.430909E+01     9.475008E+00     7.528777E-01     9.960395E+00     1.356726E+00     1.000000E+00 
    6    39     6     1.425681E+01     9.474811E+00     7.573554E-01     1.007746E+01     1.330575E+00     1.000000E+00 
    7    50     7     1.436765E+01     9.474564E+00     7.868753E-01     1.054270E+01     1.312536E+00     1.000000E+00 
    8    61     8     1.429171E+01     9.474055E+00     7.867639E-01     1.041255E+01     1.310682E+00     1.000000E+00 
    9    67     9     1.433151E+01     9.463269E+00     7.939486E-01     1.050668E+01     1.351723E+00     1.000000E+00 
   10    78    10     1.422560E+01     9.462775E+00     7.893452E-01     1.045468E+01     1.351203E+00     1.000000E+00 
   11    85    11     1.427811E+01     9.456807E+00     8.118795E-01     1.075864E+01     1.372932E+00     1.000000E+00 
   12    96    12     1.431565E+01     9.456440E+00     8.211832E-01     1.084586E+01     1.374677E+00     1.000000E+00 
   13   102    13     1.414873E+01     9.445419E+00     8.274408E-01     1.082060E+01     1.418243E+00     1.000000E+00 
   14   113    14     1.423973E+01     9.445066E+00     8.637022E-01     1.143058E+01     1.415454E+00     1.000000E+00 
   15   124    15     1.434958E+01     9.444872E+00     8.896982E-01     1.172525E+01     1.414298E+00     1.000000E+00 
   16   129    16     1.426362E+01     9.427471E+00     8.745194E-01     1.138479E+01     1.479927E+00     1.000000E+00 
   17   140    17     1.419890E+01     9.427288E+00     8.435650E-01     1.090203E+01     1.480353E+00     1.000000E+00 
   18   151    18     1.415018E+01     9.427091E+00     8.660742E-01     1.135856E+01     1.479006E+00     1.000000E+00 
   19   162    19     1.430952E+01     9.426935E+00     9.246402E-01     1.200630E+01     1.477733E+00     1.000000E+00 
   20   173    20     1.424994E+01     9.426760E+00     8.953880E-01     1.156901E+01     1.476267E+00     1.000000E+00 
   21   184    21     1.408863E+01     9.426585E+00     8.535151E-01     1.104441E+01     1.484032E+00     1.000000E+00 
   22   195    22     1.422611E+01     9.426394E+00     8.908498E-01     1.158102E+01     1.480490E+00     1.000000E+00 
   23   206    23     1.427460E+01     9.426289E+00     9.021562E-01     1.167814E+01     1.481399E+00     1.000000E+00 
   24   217    24     1.418206E+01     9.425983E+00     8.727278E-01     1.134388E+01     1.486096E+00     1.000000E+00 
   25   228    25     1.421377E+01     9.425823E+00     8.820874E-01     1.133245E+01     1.480279E+00     1.000000E+00 
   26   239    26     1.428616E+01     9.425674E+00     9.034162E-01     1.173713E+01     1.483472E+00     1.000000E+00 
   27   250    27     1.423922E+01     9.425352E+00     9.067319E-01     1.188226E+01     1.483867E+00     1.000000E+00 
   28   261    28     1.409617E+01     9.425236E+00     8.608508E-01     1.122679E+01     1.486500E+00     1.000000E+00 
   29   272    29     1.412829E+01     9.425023E+00     8.492371E-01     1.106342E+01     1.487607E+00     1.000000E+00 
   30   283    30     1.433161E+01     9.424911E+00     8.569618E-01     1.102367E+01     1.485300E+00     1.000000E+00 
   31   294    31     1.420778E+01     9.424714E+00     8.586011E-01     1.108346E+01     1.487208E+00     1.000000E+00 
   32   305    32     1.416772E+01     9.424469E+00     8.619113E-01     1.115021E+01     1.494061E+00     1.000000E+00 
   33   316    33     1.431944E+01     9.424331E+00     8.686066E-01     1.119166E+01     1.485762E+00     1.000000E+00 
   34   327    34     1.419105E+01     9.424152E+00     8.553840E-01     1.114460E+01     1.494016E+00     1.000000E+00 
   35   338    35     1.418396E+01     9.423923E+00     8.645357E-01     1.130674E+01     1.491586E+00     1.000000E+00 
   36   349    36     1.430291E+01     9.423806E+00     8.798795E-01     1.155280E+01     1.491237E+00     1.000000E+00 
   37   360    37     1.416567E+01     9.423577E+00     8.637175E-01     1.127554E+01     1.494976E+00     1.000000E+00 
   38   371    38     1.412793E+01     9.423432E+00     8.690118E-01     1.131379E+01     1.495838E+00     1.000000E+00 
   39   382    39     1.418010E+01     9.423303E+00     8.879936E-01     1.148919E+01     1.492056E+00     1.000000E+00 
   40   393    40     1.424155E+01     9.423155E+00     9.149117E-01     1.178501E+01     1.494166E+00     1.000000E+00 
   41   404    41     1.424964E+01     9.423030E+00     8.918545E-01     1.136695E+01     1.495667E+00     1.000000E+00 
   42   415    42     1.421227E+01     9.422854E+00     8.861607E-01     1.147762E+01     1.495386E+00     1.000000E+00 
   43   426    43     1.423734E+01     9.422674E+00     9.055003E-01     1.168759E+01     1.493450E+00     1.000000E+00 
   44   437    44     1.419683E+01     9.422563E+00     8.981848E-01     1.148532E+01     1.498433E+00     1.000000E+00 
   45   448    45     1.415153E+01     9.422355E+00     8.682137E-01     1.123287E+01     1.501092E+00     1.000000E+00 
   46   459    46     1.419978E+01     9.422244E+00     8.856815E-01     1.142327E+01     1.498897E+00     1.000000E+00 
   47   470    47     1.429042E+01     9.422101E+00     9.255977E-01     1.171721E+01     1.500875E+00     1.000000E+00 
   48   481    48     1.428562E+01     9.421940E+00     8.989561E-01     1.136524E+01     1.497812E+00     1.000000E+00 
   49   492    49     1.417683E+01     9.421768E+00     8.783832E-01     1.137350E+01     1.502644E+00     1.000000E+00 
   50   503    50     1.421206E+01     9.421608E+00     9.065131E-01     1.160307E+01     1.499747E+00     1.000000E+00 
   51   514    51     1.423832E+01     9.421501E+00     9.265560E-01     1.195067E+01     1.503195E+00     1.000000E+00 
   52   525    52     1.408385E+01     9.421323E+00     8.798254E-01     1.146625E+01     1.502642E+00     1.000000E+00 
   53   536    53     1.408937E+01     9.421207E+00     8.836642E-01     1.133729E+01     1.505995E+00     1.000000E+00 
   54   547    54     1.439113E+01     9.421120E+00     9.526397E-01     1.213788E+01     1.508035E+00     1.000000E+00 
   55   558    55     1.423118E+01     9.420941E+00     9.128439E-01     1.167874E+01     1.499449E+00     1.000000E+00 
   56   569    56     1.405633E+01     9.420768E+00     8.648255E-01     1.117920E+01     1.516114E+00     1.000000E+00 
   57   580    57     1.422911E+01     9.420674E+00     8.937499E-01     1.162547E+01     1.505454E+00     1.000000E+00 
   58   591    58     1.431717E+01     9.420549E+00     9.082495E-01     1.165707E+01     1.506485E+00     1.000000E+00 
   59   602    59     1.415979E+01     9.420354E+00     8.884593E-01     1.138685E+01     1.509336E+00     1.000000E+00 
   60   613    60     1.419034E+01     9.420259E+00     8.996811E-01     1.153981E+01     1.509847E+00     1.000000E+00 
   61   624    61     1.431235E+01     9.420071E+00     9.212268E-01     1.171428E+01     1.505105E+00     1.000000E+00 
   62   635    62     1.423259E+01     9.419972E+00     9.139748E-01     1.174588E+01     1.513152E+00     1.000000E+00 
   63   646    63     1.406326E+01     9.419797E+00     8.707205E-01     1.131951E+01     1.513921E+00     1.000000E+00 
   64   657    64     1.407382E+01     9.419693E+00     8.705409E-01     1.124675E+01     1.513620E+00     1.000000E+00 
   65   668    65     1.421219E+01     9.419604E+00     8.949058E-01     1.147219E+01     1.510353E+00     1.000000E+00 
   66   679    66     1.424437E+01     9.419492E+00     9.005920E-01     1.162399E+01     1.508651E+00     1.000000E+00 
   67   690    67     1.421350E+01     9.419350E+00     8.886636E-01     1.144560E+01     1.515082E+00     1.000000E+00 
   68   701    68     1.422400E+01     9.419217E+00     8.861825E-01     1.133816E+01     1.509769E+00     1.000000E+00 
   69   712    69     1.428428E+01     9.419077E+00     8.953290E-01     1.153349E+01     1.513660E+00     1.000000E+00 
   70   723    70     1.426759E+01     9.418961E+00     9.054969E-01     1.176642E+01     1.515416E+00     1.000000E+00 
   71   734    71     1.403781E+01     9.418776E+00     8.639406E-01     1.115649E+01     1.518107E+00     1.000000E+00 
   72   745    72     1.403599E+01     9.418685E+00     8.715292E-01     1.121057E+01     1.520167E+00     1.000000E+00 
   73   756    73     1.437190E+01     9.418612E+00     9.437710E-01     1.186270E+01     1.514124E+00     1.000000E+00 
   74   767    74     1.428891E+01     9.418495E+00     9.210497E-01     1.159405E+01     1.511290E+00     1.000000E+00 
   75   778    75     1.408420E+01     9.418303E+00     8.820153E-01     1.143401E+01     1.525266E+00     1.000000E+00 
   76   789    76     1.418231E+01     9.418222E+00     9.022218E-01     1.148023E+01     1.522179E+00     1.000000E+00 
   77   800    77     1.418834E+01     9.418113E+00     8.987043E-01     1.161027E+01     1.514735E+00     1.000000E+00 
   78   811    78     1.414426E+01     9.418001E+00     8.936206E-01     1.151293E+01     1.522756E+00     1.000000E+00 
   79   822    79     1.411890E+01     9.417893E+00     9.105553E-01     1.168629E+01     1.521916E+00     1.000000E+00 
   80   833    80     1.410917E+01     9.417792E+00     8.990332E-01     1.152663E+01     1.519309E+00     1.000000E+00 
   81   844    81     1.440825E+01     9.417701E+00     9.755651E-01     1.211244E+01     1.518587E+00     1.000000E+00 
   82   855    82     1.427792E+01     9.417557E+00     9.540442E-01     1.199571E+01     1.519842E+00     1.000000E+00 
   83   866    83     1.405301E+01     9.417413E+00     8.759009E-01     1.130195E+01     1.527023E+00     1.000000E+00 
   84   877    84     1.419173E+01     9.417313E+00     9.159015E-01     1.199840E+01     1.519851E+00     1.000000E+00 
   85   888    85     1.421850E+01     9.417225E+00     9.188698E-01     1.193209E+01     1.527145E+00     1.000000E+00 
   86   899    86     1.410667E+01     9.417108E+00     8.870625E-01     1.154209E+01     1.521104E+00     1.000000E+00 
   87   910    87     1.411330E+01     9.416987E+00     9.081414E-01     1.186022E+01     1.526770E+00     1.000000E+00 
   88   921    88     1.415786E+01     9.416913E+00     9.118272E-01     1.134594E+01     1.524869E+00     1.000000E+00 
   89   932    89     1.438902E+01     9.416804E+00     9.902277E-01     1.224502E+01     1.520830E+00     1.000000E+00 
   90   943    90     1.424058E+01     9.416640E+00     9.394710E-01     1.173798E+01     1.523137E+00     1.000000E+00 
   91   954    91     1.410510E+01     9.416519E+00     9.037918E-01     1.157059E+01     1.534922E+00     1.000000E+00 
   92   965    92     1.425935E+01     9.416412E+00     9.228788E-01     1.192163E+01     1.526752E+00     1.000000E+00 
   93   976    93     1.415048E+01     9.416308E+00     9.037013E-01     1.173890E+01     1.528669E+00     1.000000E+00 
   94   987    94     1.405478E+01     9.416210E+00     8.877384E-01     1.147312E+01     1.532337E+00     1.000000E+00 
   95   998    95     1.406669E+01     9.416103E+00     8.935135E-01     1.143063E+01     1.528715E+00     1.000000E+00 
   96  1009    96     1.407572E+01     9.416044E+00     9.113565E-01     1.168872E+01     1.527045E+00     1.000000E+00 
   97  1020    97     1.427235E+01     9.415917E+00     9.712709E-01     1.189465E+01     1.529010E+00     1.000000E+00 
   98  1031    98     1.441132E+01     9.415855E+00     1.001670E+00     1.211209E+01     1.526884E+00     1.000000E+00 
   99  1042    99     1.407821E+01     9.415640E+00     9.042786E-01     1.155652E+01     1.538723E+00     1.000000E+00 
  100  1053   100     1.415033E+01     9.415539E+00     9.433759E-01     1.228090E+01     1.537906E+00     1.000000E+00 
  101  1064   101     1.423989E+01     9.415464E+00     9.588007E-01     1.233599E+01     1.532953E+00     1.000000E+00 
  102  1075   102     1.410323E+01     9.415377E+00     9.157647E-01     1.152276E+01     1.534479E+00     1.000000E+00 
  103  1086   103     1.409195E+01     9.415238E+00     9.300584E-01     1.204784E+01     1.537974E+00     1.000000E+00 
  104  1097   104     1.408907E+01     9.415186E+00     9.045341E-01     1.144913E+01     1.531247E+00     1.000000E+00 
  105  1108   105     1.420757E+01     9.415071E+00     9.464463E-01     1.192395E+01     1.532391E+00     1.000000E+00 
  106  1119   106     1.444460E+01     9.414993E+00     1.033596E+00     1.272881E+01     1.534170E+00     1.000000E+00 
  107  1130   107     1.411912E+01     9.414871E+00     9.152230E-01     1.145286E+01     1.534333E+00     1.000000E+00 
  108  1141   108     1.413569E+01     9.414737E+00     9.149799E-01     1.187487E+01     1.541984E+00     1.000000E+00 
  109  1152   109     1.430520E+01     9.414671E+00     9.618178E-01     1.241231E+01     1.537233E+00     1.000000E+00 
  110  1163   110     1.406689E+01     9.414563E+00     9.007174E-01     1.176367E+01     1.539526E+00     1.000000E+00 
  111  1174   111     1.401118E+01     9.414464E+00     8.884423E-01     1.144164E+01     1.541053E+00     1.000000E+00 
  112  1185   112     1.414190E+01     9.414407E+00     9.414957E-01     1.200966E+01     1.535572E+00     1.000000E+00 
  113  1196   113     1.429646E+01     9.414332E+00     9.664707E-01     1.210455E+01     1.534662E+00     1.000000E+00 
  114  1207   114     1.429930E+01     9.414214E+00     9.684175E-01     1.210578E+01     1.536744E+00     1.000000E+00 
  115  1218   115     1.417593E+01     9.414107E+00     9.462381E-01     1.214122E+01     1.543269E+00     1.000000E+00 
  116  1229   116     1.418378E+01     9.414004E+00     9.377165E-01     1.190695E+01     1.538324E+00     1.000000E+00 
  117  1240   117     1.423694E+01     9.413895E+00     9.538318E-01     1.211331E+01     1.543022E+00     1.000000E+00 
  118  1251   118     1.408274E+01     9.413802E+00     9.143289E-01     1.177072E+01     1.540765E+00     1.000000E+00 
  119  1262   119     1.403987E+01     9.413705E+00     9.075958E-01     1.160475E+01     1.545103E+00     1.000000E+00 
  120  1273   120     1.408779E+01     9.413630E+00     9.191867E-01     1.166669E+01     1.539791E+00     1.000000E+00 
  121  1284   121     1.416873E+01     9.413565E+00     9.300817E-01     1.169318E+01     1.538784E+00     1.000000E+00 
  122  1295   122     1.442254E+01     9.413461E+00     9.811170E-01     1.223570E+01     1.539393E+00     1.000000E+00 
  123  1306   123     1.421443E+01     9.413335E+00     9.333386E-01     1.165457E+01     1.540010E+00     1.000000E+00 
  124  1317   124     1.402018E+01     9.413209E+00     8.856851E-01     1.133897E+01     1.552541E+00     1.000000E+00 
  125  1328   125     1.418878E+01     9.413134E+00     9.457680E-01     1.232938E+01     1.544933E+00     1.000000E+00 
  126  1339   126     1.429547E+01     9.413063E+00     9.681056E-01     1.234276E+01     1.540981E+00     1.000000E+00 
  127  1350   127     1.400442E+01     9.412923E+00     8.814434E-01     1.139709E+01     1.554779E+00     1.000000E+00 
  128  1361   128     1.398291E+01     9.412848E+00     8.708187E-01     1.129739E+01     1.548257E+00     1.000000E+00 
  129  1372   129     1.409582E+01     9.412785E+00     9.018876E-01     1.129760E+01     1.544385E+00     1.000000E+00 
  130  1383   130     1.437695E+01     9.412714E+00     9.966717E-01     1.239382E+01     1.541961E+00     1.000000E+00 
  131  1394   131     1.429762E+01     9.412612E+00     9.653807E-01     1.213172E+01     1.542878E+00     1.000000E+00 
  132  1405   132     1.413797E+01     9.412437E+00     9.182894E-01     1.168797E+01     1.550472E+00     1.000000E+00 
  133  1416   133     1.407526E+01     9.412357E+00     9.152324E-01     1.180421E+01     1.552251E+00     1.000000E+00 
  134  1427   134     1.411574E+01     9.412275E+00     9.143619E-01     1.174242E+01     1.546765E+00     1.000000E+00 
  135  1438   135     1.422487E+01     9.412184E+00     9.519687E-01     1.214291E+01     1.548038E+00     1.000000E+00 
  136  1449   136     1.417732E+01     9.412104E+00     9.336958E-01     1.179749E+01     1.546792E+00     1.000000E+00 
  137  1460   137     1.410285E+01     9.411967E+00     9.121614E-01     1.155388E+01     1.553215E+00     1.000000E+00 
  138  1471   138     1.423595E+01     9.411893E+00     9.443902E-01     1.165401E+01     1.549871E+00     1.000000E+00 
  139  1482   139     1.442491E+01     9.411764E+00     9.937760E-01     1.220697E+01     1.544152E+00     1.000000E+00 
  140  1493   140     1.410186E+01     9.411645E+00     9.162408E-01     1.177144E+01     1.562596E+00     1.000000E+00 
  141  1504   141     1.399013E+01     9.411520E+00     8.679025E-01     1.124020E+01     1.554149E+00     1.000000E+00 
  142  1515   142     1.404994E+01     9.411458E+00     9.075814E-01     1.164620E+01     1.554693E+00     1.000000E+00 
  143  1526   143     1.429795E+01     9.411388E+00     9.984075E-01     1.243197E+01     1.546391E+00     1.000000E+00 
  144  1537   144     1.414493E+01     9.411286E+00     9.217876E-01     1.168002E+01     1.549495E+00     1.000000E+00 
  145  1548   145     1.405942E+01     9.411168E+00     8.997755E-01     1.133530E+01     1.563436E+00     1.000000E+00 
  146  1559   146     1.440147E+01     9.411088E+00     9.924229E-01     1.204593E+01     1.552936E+00     1.000000E+00 
  147  1570   147     1.428054E+01     9.411013E+00     9.562944E-01     1.194394E+01     1.549730E+00     1.000000E+00 
  148  1581   148     1.404266E+01     9.410785E+00     9.020230E-01     1.146267E+01     1.567662E+00     1.000000E+00 
  149  1592   149     1.408122E+01     9.410726E+00     9.132577E-01     1.176027E+01     1.556464E+00     1.000000E+00 
  150  1603   150     1.407081E+01     9.410643E+00     9.013053E-01     1.156541E+01     1.556456E+00     1.000000E+00 
  151  1614   151     1.410289E+01     9.410573E+00     9.025853E-01     1.150219E+01     1.557655E+00     1.000000E+00 
  152  1625   152     1.430977E+01     9.410499E+00     9.462637E-01     1.194792E+01     1.553706E+00     1.000000E+00 
  153  1636   153     1.417673E+01     9.410395E+00     9.193520E-01     1.157900E+01     1.555846E+00     1.000000E+00 
  154  1647   154     1.416849E+01     9.410295E+00     9.169859E-01     1.163026E+01     1.563113E+00     1.000000E+00 
  155  1658   155     1.437655E+01     9.410202E+00     9.457324E-01     1.179659E+01     1.555091E+00     1.000000E+00 
  156  1669   156     1.415082E+01     9.410113E+00     9.178420E-01     1.171066E+01     1.562042E+00     1.000000E+00 
  157  1680   157     1.403480E+01     9.409990E+00     9.003438E-01     1.163603E+01     1.565393E+00     1.000000E+00 
  158  1691   158     1.401292E+01     9.409932E+00     8.888776E-01     1.150004E+01     1.559023E+00     1.000000E+00 
  159  1702   159     1.404028E+01     9.409864E+00     8.999459E-01     1.151518E+01     1.559109E+00     1.000000E+00 
  160  1713   160     1.426718E+01     9.409812E+00     9.603954E-01     1.190899E+01     1.557309E+00     1.000000E+00 
  161  1724   161     1.427907E+01     9.409708E+00     9.737158E-01     1.218192E+01     1.558014E+00     1.000000E+00 
  162  1735   162     1.413759E+01     9.409594E+00     9.328716E-01     1.151487E+01     1.568044E+00     1.000000E+00 
  163  1746   163     1.431912E+01     9.409512E+00     9.817214E-01     1.214309E+01     1.561404E+00     1.000000E+00 
  164  1757   164     1.418263E+01     9.409416E+00     9.387258E-01     1.209427E+01     1.563998E+00     1.000000E+00 
  165  1768   165     1.410728E+01     9.409287E+00     9.169284E-01     1.163022E+01     1.567687E+00     1.000000E+00 
  166  1779   166     1.408886E+01     9.409230E+00     9.141409E-01     1.191985E+01     1.560898E+00     1.000000E+00 
  167  1790   167     1.399662E+01     9.409136E+00     8.857158E-01     1.124987E+01     1.567847E+00     1.000000E+00 
  168  1801   168     1.406761E+01     9.409074E+00     8.942923E-01     1.141493E+01     1.561933E+00     1.000000E+00 
  169  1812   169     1.438762E+01     9.409028E+00     9.921689E-01     1.263589E+01     1.565869E+00     1.000000E+00 
  170  1823   170     1.414763E+01     9.408879E+00     9.324409E-01     1.161873E+01     1.567319E+00     1.000000E+00 
