MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.376695E+01     9.221622E+00     3.004695E-02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.402067E+01     9.221622E+00     4.102949E-01     6.285935E+00     8.383544E-02     1.000000E+00 
    2    13     2     1.375437E+01     9.221622E+00     4.141420E-01     6.274012E+00     6.498608E-02     1.000000E+00 
    3    24     3     1.375977E+01     9.221622E+00     4.249210E-01     6.227976E+00     3.843126E-02     1.000000E+00 
    4    35     4     1.375287E+01     9.221622E+00     4.296971E-01     6.221416E+00     2.528800E-02     1.000000E+00 
    5    46     5     1.375524E+01     9.221622E+00     4.293997E-01     6.236866E+00     1.814238E-02     1.000000E+00 
    6    57     6     1.375211E+01     9.221622E+00     4.317033E-01     6.235375E+00     1.352600E-02     1.000000E+00 
    7    68     7     1.374448E+01     9.221622E+00     4.305291E-01     6.231599E+00     1.354444E-02     1.000000E+00 
    8    79     8     1.374981E+01     9.221622E+00     4.338238E-01     6.247726E+00     1.251703E-02     1.000000E+00 
    9    90     9     1.375824E+01     9.221622E+00     4.349620E-01     6.230140E+00     9.449523E-03     1.000000E+00 
   10   101    10     1.375876E+01     9.221622E+00     4.360673E-01     6.255083E+00     8.867331E-03     1.000000E+00 
   11   112    11     1.375325E+01     9.221622E+00     4.357362E-01     6.248031E+00     1.006108E-02     1.000000E+00 
   12   123    12     1.374689E+01     9.221622E+00     4.314441E-01     6.232295E+00     1.235851E-02     1.000000E+00 
   13   134    13     1.375484E+01     9.221622E+00     4.335830E-01     6.270206E+00     1.128680E-02     1.000000E+00 
   14   145    14     1.375460E+01     9.221622E+00     4.376930E-01     6.248804E+00     9.348088E-03     1.000000E+00 
   15   156    15     1.374448E+01     9.221622E+00     4.314116E-01     6.227030E+00     1.306731E-02     1.000000E+00 
   16   167    16     1.375649E+01     9.221622E+00     4.347493E-01     6.299956E+00     1.176266E-02     1.000000E+00 
   17   178    17     1.376121E+01     9.221622E+00     4.401045E-01     6.265463E+00     8.165753E-03     1.000000E+00 
   18   189    18     1.374505E+01     9.221622E+00     4.320394E-01     6.221413E+00     1.327875E-02     1.000000E+00 
   19   200    19     1.374883E+01     9.221622E+00     4.378318E-01     6.366378E+00     1.295748E-02     1.000000E+00 
   20   211    20     1.375317E+01     9.221622E+00     4.377604E-01     6.282172E+00     1.032288E-02     1.000000E+00 
   21   222    21     1.375166E+01     9.221622E+00     4.381341E-01     6.284351E+00     1.057078E-02     1.000000E+00 
