MAJOR NFEV NGEV OBJFUN GNORM CNORM FEAS OPT STEP
0 0 0 1.5603079619072608e+01 1.5755131634193974e+01 1.3411542234830581e-02 1.3411542234830431e-02 0 5.0000000000000000e-01
1 0 0 1.0124676921524962e+01 9.5490545932900073e+00 1.3411542234830136e-02 1.3411542234829987e-02 0 5.0000000000000000e-01
2 0 0 8.2230671216100877e+00 8.0069289933595460e+00 1.3411542234829470e-02 1.3411542234829321e-02 0 5.0000000000000000e-01
3 0 0 7.3230939871875194e+00 7.3736452509934471e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
4 0 0 6.8149195263967490e+00 7.0488800080732901e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
5 0 0 6.4920595883476562e+00 6.8564582161972760e+00 1.3411542234829691e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
6 0 0 6.2706367497488662e+00 6.7304293489621969e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
7 0 0 6.1079472995625617e+00 6.6415393351028733e+00 1.3411542234829469e-02 1.3411542234829321e-02 0 5.0000000000000000e-01
8 0 0 5.9834645952483321e+00 6.5750437718424886e+00 1.3411542234828360e-02 1.3411542234828211e-02 0 5.0000000000000000e-01
9 0 0 5.8826501020811586e+00 6.5227186197382521e+00 1.3411542234829469e-02 1.3411542234829321e-02 0 5.0000000000000000e-01
10 0 0 5.7993906565418438e+00 6.4796697606053240e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
11 0 0 5.7268815317599948e+00 6.4428495715739098e+00 1.3411542234828802e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
12 0 0 5.6637031676180767e+00 6.4103004187262496e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
13 0 0 5.6057916415397333e+00 6.3807555745401174e+00 1.3411542234830135e-02 1.3411542234829987e-02 0 5.0000000000000000e-01
14 0 0 5.5535753389391260e+00 6.3533679682325408e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
15 0 0 5.5040990509101162e+00 6.3275888953944150e+00 1.3411542234828802e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
16 0 0 5.4585942792338802e+00 6.3030376060995348e+00 1.3411542234829026e-02 1.3411542234828877e-02 0 5.0000000000000000e-01
17 0 0 5.4145905616674863e+00 6.2794744239833751e+00 1.3411542234828136e-02 1.3411542234827989e-02 0 5.0000000000000000e-01
18 0 0 5.3736872942560172e+00 6.2567232276061269e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
19 0 0 5.3336404805579161e+00 6.2346807176483496e+00 1.3411542234829913e-02 1.3411542234829765e-02 0 5.0000000000000000e-01
20 0 0 5.2962216500987598e+00 6.2132623008703822e+00 1.3411542234829914e-02 1.3411542234829765e-02 0 5.0000000000000000e-01
21 0 0 5.2593021254660552e+00 6.1924252453514486e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
22 0 0 5.2247323835479875e+00 6.1721262388742772e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
23 0 0 5.1904504528228390e+00 6.1523492984251842e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
24 0 0 5.1583390636768813e+00 6.1330697830682377e+00 1.3411542234830581e-02 1.3411542234830431e-02 0 5.0000000000000000e-01
25 0 0 5.1263816679551546e+00 6.1142833102001157e+00 1.3411542234829469e-02 1.3411542234829321e-02 0 5.0000000000000000e-01
26 0 0 5.0964685992654548e+00 6.0959736746578637e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
27 0 0 5.0666195361469448e+00 6.0781413338580244e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
28 0 0 5.0387186870223362e+00 6.0607738726754947e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
29 0 0 5.0108180990550242e+00 6.0438736073097337e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
30 0 0 4.9847878059446042e+00 6.0274298042976824e+00 1.3411542234829469e-02 1.3411542234829321e-02 0 5.0000000000000000e-01
31 0 0 4.9587106853444789e+00 6.0114453558578695e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
32 0 0 4.9344376624452382e+00 5.9959102573895899e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
33 0 0 4.9100818736990135e+00 5.9808274517485351e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
34 0 0 4.8874720118507442e+00 5.9661872381961070e+00 1.3411542234828360e-02 1.3411542234828211e-02 0 5.0000000000000000e-01
35 0 0 4.8647512646723285e+00 5.9519924173420131e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
36 0 0 4.8437240802987453e+00 5.9382334090686006e+00 1.3411542234829026e-02 1.3411542234828877e-02 0 5.0000000000000000e-01
37 0 0 4.8225635928089865e+00 5.9249128206298014e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
38 0 0 4.8030487116256495e+00 5.9120211202773625e+00 1.3411542234828360e-02 1.3411542234828211e-02 0 5.0000000000000000e-01
39 0 0 4.7833824069092117e+00 5.8995607279328661e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
40 0 0 4.7653172385575697e+00 5.8875221388811365e+00 1.3411542234830581e-02 1.3411542234830431e-02 0 5.0000000000000000e-01
41 0 0 4.7470858586551152e+00 5.8759076120921483e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
42 0 0 4.7304140024120009e+00 5.8647076716602760e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
43 0 0 4.7135637970476800e+00 5.8539244469822593e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
44 0 0 4.6982339162907394e+00 5.8435485028423058e+00 1.3411542234829469e-02 1.3411542234829321e-02 0 5.0000000000000000e-01
45 0 0 4.6827157066368699e+00 5.8335818695157435e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
46 0 0 4.6686807153253467e+00 5.8240151682809360e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
47 0 0 4.6544492110262539e+00 5.8148503579327251e+00 1.3411542234827916e-02 1.3411542234827767e-02 0 5.0000000000000000e-01
48 0 0 4.6416656743375935e+00 5.8060781329823294e+00 1.3411542234829026e-02 1.3411542234828877e-02 0 5.0000000000000000e-01
49 0 0 4.6286789663639070e+00 5.7977004053264212e+00 1.3411542234828138e-02 1.3411542234827989e-02 0 5.0000000000000000e-01
50 0 0 4.6171066519565356e+00 5.7897079589112028e+00 1.3411542234829914e-02 1.3411542234829765e-02 0 5.0000000000000000e-01
51 0 0 4.6053258302445714e+00 5.7821026805985039e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
52 0 0 4.5949273675246136e+00 5.7748754587080873e+00 1.3411542234828360e-02 1.3411542234828211e-02 0 5.0000000000000000e-01
53 0 0 4.5843162287271397e+00 5.7680281746976112e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
54 0 0 4.5750568467521449e+00 5.7615518345875349e+00 1.3411542234829692e-02 1.3411542234829543e-02 0 5.0000000000000000e-01
55 0 0 4.5655816679778169e+00 5.7554483322910857e+00 1.3411542234829469e-02 1.3411542234829321e-02 0 5.0000000000000000e-01
56 0 0 4.5574289913345147e+00 5.7497088031001340e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
57 0 0 4.5490583527769495e+00 5.7443351698542484e+00 1.3411542234829914e-02 1.3411542234829765e-02 0 5.0000000000000000e-01
58 0 0 4.5419822406560293e+00 5.7393187069003009e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
59 0 0 4.5346868848163808e+00 5.7346613813812377e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
60 0 0 4.5286593025840087e+00 5.7303546147319278e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
61 0 0 4.5224120211466143e+00 5.7264004329006122e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
62 0 0 4.5174069365907048e+00 5.7227904107698642e+00 1.3411542234830136e-02 1.3411542234829987e-02 0 5.0000000000000000e-01
63 0 0 4.5121824783970119e+00 5.7195266468771235e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
64 0 0 4.5081757768897877e+00 5.7166008743409211e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
65 0 0 4.5039507721753766e+00 5.7140152774640880e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
66 0 0 4.5009201864909407e+00 5.7117617509338405e+00 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
67 0 0 4.4976730838036127e+00 5.7098425774627772e+00 1.3411542234827916e-02 1.3411542234827767e-02 0 5.0000000000000000e-01
68 0 0 4.4955981354268086e+00 5.7082498153071244e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
69 0 0 4.4933091485650234e+00 5.7069858577532724e+00 1.3411542234828804e-02 1.3411542234828655e-02 0 5.0000000000000000e-01
70 0 0 4.1089159900681183e-01 5.7060429274196958e+00 1.3411542234830136e-02 1.3411542234829987e-02 0 2.5000000000000000e-01
71 0 0 4.1019750662946752e-01 3.7864762340512503e-02 1.3411542234828360e-02 1.3411542234828211e-02 0 1.0000000000000000e+00
72 0 0 4.0975125327738021e-01 5.5391740755648927e-02 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
73 0 0 4.0931773532281968e-01 5.5087314869197462e-02 1.3411542234829026e-02 1.3411542234828877e-02 0 5.0000000000000000e-01
74 0 0 4.0888564461386612e-01 5.4805735437207397e-02 1.3411542234827916e-02 1.3411542234827767e-02 0 5.0000000000000000e-01
75 0 0 4.0846473813498885e-01 5.4533252389789448e-02 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
76 0 0 4.0804468279491402e-01 5.4279644360366169e-02 1.3411542234829248e-02 1.3411542234829099e-02 0 5.0000000000000000e-01
