MAJOR NFEV NGEV OBJFUN GNORM CNORM FEAS OPT STEP
0 0 0 3.5559187348998996e+01 1.0196773281173307e+01 4.2556360346975466e-09 9.9998231917197700e-11 0 1.0000000000000000e+00
1 0 0 2.1784152868594536e+01 8.2663239299868660e+00 4.2550814511879581e-09 9.9998676006407550e-11 0 1.0000000000000000e+00
2 0 0 1.6715343261704096e+01 7.3840529935602266e+00 4.2556110248302401e-09 9.9998676006407550e-11 0 1.0000000000000000e+00
3 0 0 1.4310498369520197e+01 6.9215130702948118e+00 4.2556361636949362e-09 9.9999564184827250e-11 0 1.0000000000000000e+00
4 0 0 1.3040678799679149e+01 6.6710435114159203e+00 4.2556893357796085e-09 1.0000045236324695e-10 0 1.0000000000000000e+00
5 0 0 1.2352085524366274e+01 6.5420471735996060e+00 4.2554898265314679e-09 9.9998453961802625e-11 0 1.0000000000000000e+00
6 0 0 1.2000933508667696e+01 6.4888329488313126e+00 4.2556616622436378e-09 1.0000045236324695e-10 0 1.0000000000000000e+00
7 0 0 1.1863992630864793e+01 6.4860310602756153e+00 4.2556306324331553e-09 1.0000067440785188e-10 0 1.0000000000000000e+00
8 0 0 1.3198378273464670e+00 3.0247461435133899e-01 4.2556361289474974e-09 9.9999786229432175e-11 0 5.0000000000000000e-01
9 0 0 1.2510392540581017e+00 2.6617977679263133e-01 4.2556639963090124e-09 9.9999342140222325e-11 0 1.0000000000000000e+00
10 0 0 1.1972085852703429e+00 2.3772555520674724e-01 4.2556471490703948e-09 1.0000067440785188e-10 0 1.0000000000000000e+00
11 0 0 1.1540978346163153e+00 2.1501439606930872e-01 4.2556554106118756e-09 1.0000000827403710e-10 0 1.0000000000000000e+00
12 0 0 1.1189484752252012e+00 1.9663225020163325e-01 4.2556223025056208e-09 9.9999564184827250e-11 0 1.0000000000000000e+00
13 0 0 1.0898117827332969e+00 1.8160460014436441e-01 4.2556640201769061e-09 1.0000045236324695e-10 0 1.0000000000000000e+00
14 0 0 1.0653567074557113e+00 1.6922629241890941e-01 4.2552581112509147e-09 9.9999564184827250e-11 0 1.0000000000000000e+00
15 0 0 1.0445695930466761e+00 1.5898538538944720e-01 4.2553107816852928e-09 9.9999342140222325e-11 0 1.0000000000000000e+00
